geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;notes;Lat;Lon
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2146926, 48.859067299727265]]}";n6122274580;NON;6;;public;NON;NON;arceaux;;48.8590672997;2.2146926
"{""type"": ""MultiPoint"", ""coordinates"": [[2.1899285, 48.69747159976733]]}";n3437132937;NON;6;;public;NON;NON;ratelier;;48.6974715998;2.1899285
"{""type"": ""MultiPoint"", ""coordinates"": [[2.0557147, 48.78787439974492]]}";n6627458487;NON;0;;privee;NON;NON;inconnu;;48.7878743997;2.0557147
"{""type"": ""MultiPoint"", ""coordinates"": [[2.5799658, 48.88289459972136]]}";n4973283816;NON;6;;public;NON;NON;arceaux;;48.8828945997;2.5799658
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3497752, 48.877302899722736]]}";n2441684767;NON;10;;public;NON;NON;arceaux;;48.8773028997;2.3497752
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3494082, 48.885274499720765]]}";n635743065;NON;8;;public;NON;NON;arceaux;;48.8852744997;2.3494082
"{""type"": ""MultiPoint"", ""coordinates"": [[2.325323, 48.83259359973383]]}";n7489625972;NON;10;;public;NON;NON;arceaux;;48.8325935997;2.325323
"{""type"": ""MultiPoint"", ""coordinates"": [[2.314375628069168, 48.81249059974356]]}";w719486165;NON;6;;public;NON;NON;arceaux;;48.8124905997;2.31437562807
"{""type"": ""MultiPoint"", ""coordinates"": [[2.267652, 48.9145079997135]]}";n3831191495;NON;8;;public;NON;NON;arceaux;;48.9145079997;2.267652
"{""type"": ""MultiPoint"", ""coordinates"": [[2.383835, 48.844568999730875]]}";n2177689632;NON;6;;public;NON;NON;arceaux;;48.8445689997;2.383835
"{""type"": ""MultiPoint"", ""coordinates"": [[2.320859, 48.84219279973145]]}";n5628183214;NON;6;;public;NON;NON;arceaux;;48.8421927997;2.320859
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3184666, 48.83889749973227]]}";n4117075320;NON;0;;public;NON;NON;inconnu;;48.8388974997;2.3184666
"{""type"": ""MultiPoint"", ""coordinates"": [[2.4022645, 48.844671099730824]]}";n3836208162;NON;8;;public;NON;NON;arceaux;;48.8446710997;2.4022645
"{""type"": ""MultiPoint"", ""coordinates"": [[2.3649445, 48.85403879972851]]}";n5686032342;NON;10;;public;NON;NON;arceaux;;48.8540387997;2.3649445
"{""type"": ""MultiPoint"", ""coordinates"": [[2.2596385, 48.82990929973451]]}";n7388793313;NON;0;;public;NON;NON;inconnu;;48.8299092997;2.2596385
"{""type"": ""MultiPoint"", ""coordinates"": [[2.272839114617974, 48.836717349810904]]}";w664081715;OUI;0;;privee;NON;NON;arceaux;;48.8367173498;2.27283911462
